date,avg_active_power,total_active_power,avg_voltage,max_voltage,min_voltage,avg_intensity,sum_sub_1,sum_sub_2,sum_sub_3,target,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7,day_of_week,is_weekend,cumsum_power,diff_power,month,sin_day,cos_day
2007-01-01,3.3148513888888878,4773.385999999998,240.13607638888905,247.23,231.17,14.02805555555556,2669.0,425.0,14726.0,3221.578666666668,2341.3379999999997,1716.6239999999991,2225.747999999999,1666.1940000000006,2203.8259999999964,3390.46,1209.1760000000006,2107.623714285713,692.6337168705436,5,1,19526.751999999997,2432.0479999999984,12,-0.1372787721132651,0.9905324521322229
2007-01-02,1.7708416666666715,2550.012000000007,241.6874375000003,249.27,231.08,7.640416666666739,1703.0,5082.0,6891.0,3355.5060000000035,4773.385999999998,2341.3379999999997,1716.6239999999991,2225.747999999999,1666.1940000000006,2203.8259999999964,3390.46,2616.7965714285706,1107.7552432697478,6,1,22076.764,-2223.3739999999907,12,-0.1202080448993527,0.9927487224577402
2007-01-03,1.904944444444448,2743.1200000000053,243.3999305555553,250.62,233.48,7.951527777777767,6620.0,1962.0,5795.0,3075.747333333338,2550.012000000007,4773.385999999998,2341.3379999999997,1716.6239999999991,2225.747999999999,1666.1940000000006,2203.8259999999964,2496.732571428572,1054.1764244778724,0,0,24819.884000000005,193.1079999999984,12,-0.1031016974474354,0.9946708199115212
2007-01-04,2.7320208333333333,3934.11,241.6254375,249.11,234.59,11.347916666666674,1086.0,2533.0,14979.0,2735.3300000000017,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999997,1716.6239999999991,2225.747999999999,1666.1940000000006,2573.7745714285725,1048.8955954219743,1,0,28753.99400000001,1190.9899999999948,12,-0.0859647987374467,0.9962981749346076
2007-01-05,1.0616388888888892,1528.7600000000004,243.7673611111116,251.7,235.6,4.517499999999999,0.0,314.0,6976.0,2511.836,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999997,1716.6239999999991,2225.747999999999,2897.7625714285723,1071.8460893988547,2,0,30282.754000000008,-2405.3499999999995,12,-0.0688024268023206,0.9976303053065856
2007-01-06,1.4393319444444443,2072.638,243.2683333333333,250.95,230.7,6.086250000000001,2207.0,4419.0,9176.0,2258.596666666666,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999997,1716.6239999999991,2798.1928571428584,1172.340237623223,3,0,32355.392000000007,543.8779999999995,12,-0.0516196672232541,0.998666816288476
2007-01-07,2.2044388888888866,3174.3919999999966,240.87130555555564,250.55,228.2,9.27138888888886,1252.0,5162.0,11329.0,2678.777333333333,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999997,2849.052000000001,1124.3384638384764,4,0,35529.78400000001,1101.7539999999967,12,-0.0344216116227458,0.9994074007397048
2007-01-08,1.9397093184979148,2789.302000000001,240.5406884561889,250.67,228.99,8.292211404728766,3072.0,7891.0,12480.0,3152.629999999999,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2968.059714285715,1105.5733538898428,5,1,38319.08600000001,-385.0899999999952,12,-0.0172133561558352,0.9998518392091162
2007-01-09,2.426525,3494.1959999999995,239.8965763888888,248.56,231.23,10.199583333333337,0.0,347.0,6502.0,3010.834000000006,2789.302000000001,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,2684.619142857144,768.5631686021711,6,1,41813.28200000001,704.893999999998,12,6.432490598706546e-16,1.0
2007-01-10,1.9090305555555664,2749.004000000016,240.12897916666685,246.3,234.07,7.9169444444444705,0.0,352.0,5880.0,2504.145333333339,3494.1959999999995,2789.302000000001,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2819.502571428572,821.9972520616794,0,0,44562.28600000002,-745.1919999999836,1,0.0172133561558346,0.9998518392091162
