Date,avg_active_power,total_active_power,avg_voltage,max_voltage,min_voltage,avg_intensity,sum_sub_1,sum_sub_2,sum_sub_3,target,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7,day_of_week,is_weekend
2006-12-23,3.3148513888888873,4773.385999999998,240.13607638888902,247.23,231.17,14.028055555555559,2669.0,425.0,14726.0,2550.012000000007,2341.3379999999993,1716.6239999999993,2225.747999999999,1666.1940000000006,2203.8259999999964,3390.46,1209.1760000000006,2107.6237142857135,692.6337168705436,5,1
2006-12-24,1.7708416666666715,2550.012000000007,241.6874375000003,249.27,231.08,7.640416666666739,1703.0,5082.0,6891.0,2743.1200000000053,4773.385999999998,2341.3379999999993,1716.6239999999993,2225.747999999999,1666.1940000000006,2203.8259999999964,3390.46,2616.7965714285706,1107.7552432697478,6,1
2006-12-25,1.904944444444448,2743.1200000000053,243.3999305555553,250.62,233.48,7.951527777777767,6620.0,1962.0,5795.0,3934.11,2550.012000000007,4773.385999999998,2341.3379999999993,1716.6239999999993,2225.747999999999,1666.1940000000006,2203.8259999999964,2496.7325714285716,1054.1764244778724,0,0
2006-12-26,2.7320208333333333,3934.11,241.6254375,249.11,234.59,11.347916666666674,1086.0,2533.0,14979.0,1528.7600000000004,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999993,1716.6239999999993,2225.747999999999,1666.1940000000006,2573.7745714285725,1048.8955954219743,1,0
2006-12-27,1.0616388888888892,1528.7600000000004,243.7673611111116,251.7,235.6,4.517499999999999,0.0,314.0,6976.0,2072.638,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999993,1716.6239999999993,2225.747999999999,2897.7625714285723,1071.8460893988547,2,0
2006-12-28,1.4393319444444443,2072.638,243.26833333333332,250.95,230.7,6.086250000000001,2207.0,4419.0,9176.0,3174.3919999999966,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999993,1716.6239999999993,2798.1928571428584,1172.340237623223,3,0
2006-12-29,2.2044388888888866,3174.3919999999966,240.87130555555564,250.55,228.2,9.271388888888861,1252.0,5162.0,11329.0,2789.3020000000015,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2341.3379999999993,2849.052000000001,1124.3384638384764,4,0
2006-12-30,1.9397093184979148,2789.3020000000015,240.5406884561889,250.67,228.99,8.292211404728766,3072.0,7891.0,12480.0,3494.1959999999995,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,4773.385999999998,2968.059714285715,1105.5733538898428,5,1
2006-12-31,2.426525,3494.1959999999995,239.8965763888888,248.56,231.23,10.199583333333335,0.0,347.0,6502.0,2749.004000000016,2789.3020000000015,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2550.012000000007,2684.619142857144,768.5631686021711,6,1
2007-01-01,1.9090305555555664,2749.004000000016,240.12897916666685,246.3,234.07,7.9169444444444705,0.0,352.0,5880.0,1269.2360000000006,3494.1959999999995,2789.3020000000015,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2743.1200000000053,2819.502571428572,821.9972520616794,0,0
2007-01-02,0.8814138888888893,1269.2360000000006,241.94377777777765,250.02,233.9,3.7140277777777784,0.0,348.0,6562.0,1014.0540000000005,2749.004000000016,3494.1959999999995,2789.3020000000015,3174.3919999999966,2072.638,1528.7600000000004,3934.11,2820.343142857145,821.9091291838831,1,0
2007-01-03,0.7042041666666671,1014.0540000000005,243.557090277778,248.53,238.57,3.01402777777777,0.0,344.0,4765.0,3259.4119999999907,1269.2360000000006,2749.004000000016,3494.1959999999995,2789.3020000000015,3174.3919999999966,2072.638,1528.7600000000004,2439.646857142859,837.073953589811,2,0
2007-01-04,2.263480555555549,3259.4119999999907,239.75029861111113,247.35,231.83,9.478194444444444,1051.0,7597.0,10896.0,2713.3639999999928,1014.0540000000005,1269.2360000000006,2749.004000000016,3494.1959999999995,2789.3020000000015,3174.3919999999966,2072.638,2366.1174285714305,945.9484581122554,3,0
2007-01-05,1.8842805555555506,2713.3639999999928,240.49576388888877,248.18,230.48,7.8851388888888945,1483.0,379.0,7602.0,1508.3779999999997,3259.4119999999907,1014.0540000000005,1269.2360000000006,2749.004000000016,3494.1959999999995,2789.3020000000015,3174.3919999999966,2535.656571428572,989.9117201425677,4,0
2007-01-06,1.047484722222222,1508.3779999999997,239.6730555555553,247.98,226.32,4.543888888888884,1336.0,402.0,5678.0,2447.620000000002,2713.3639999999928,3259.4119999999907,1014.0540000000005,1269.2360000000006,2749.004000000016,3494.1959999999995,2789.3020000000015,2469.7954285714286,955.0553590884757,5,1
